entry_time,entry_price,exit_time,exit_price,direction,profit_loss,strategy,symbol,resolution,holding_bars,points
2025-08-24 19:10:24,16156.77,2025-08-26 19:10:24,16156.15,short,11.81,RSI_breakout,NQ,1d,2,0.62
2025-08-27 00:10:24,16181.32,2025-08-27 00:28:24,16181.65,long,6.15,random_realistic,NQ,1min,18,0.33
2025-08-27 07:28:24,16202.31,2025-08-27 07:59:24,16202.58,long,4.81,SMA_crossover,NQ,1min,31,0.27
2025-08-28 01:59:24,16210.32,2025-08-28 02:02:24,16210.64,long,5.93,RSI_breakout,NQ,1min,3,0.32
2025-08-28 03:22:24,2068.44,2025-08-28 04:12:24,2068.64,long,19.78,momentum,GCZ,5min,10,0.2
2025-08-28 14:02:24,16230.02,2025-08-28 15:02:24,16230.02,long,-0.65,RSI_breakout,NQ,5min,12,-0.01
2025-08-28 21:12:24,2053.37,2025-08-28 21:48:24,2052.8,long,-57.56,SMA_crossover,GCZ,1min,36,-0.57
2025-08-29 03:02:24,16224.79,2025-08-29 03:15:24,16225.91,short,-23.05,SMA_crossover,NQ,1min,13,-1.13
2025-08-29 07:48:24,2048.76,2025-08-29 08:00:24,2048.27,short,48.58,RSI_breakout,GCZ,1min,12,0.49
2025-08-29 20:15:24,16171.83,2025-08-29 20:25:24,16170.29,long,-31.21,RSI_breakout,NQ,1min,10,-1.54
2025-08-30 00:00:24,2055.55,2025-08-30 01:15:24,2055.42,short,13.21,RSI_breakout,GCZ,15min,5,0.14
2025-08-30 06:15:24,2050.93,2025-09-06 06:15:24,2050.96,long,1.72,random_realistic,GCZ,1d,7,0.02
2025-08-30 11:25:24,16174.6,2025-09-04 11:25:24,16175.44,long,16.2,RSI_breakout,NQ,1d,5,0.84
2025-09-05 06:25:24,16231.17,2025-09-05 07:05:24,16230.13,long,-21.2,SMA_crossover,NQ,1min,40,-1.03
2025-09-06 05:05:24,16281.29,2025-09-06 06:15:24,16282.12,long,15.93,RSI_breakout,NQ,5min,14,0.82
2025-09-06 07:15:24,2049.47,2025-09-06 10:30:24,2049.1,short,36.66,SMA_crossover,GCZ,15min,13,0.37
2025-09-06 11:15:24,16295.56,2025-09-06 12:20:24,16296.66,long,21.44,SMA_crossover,NQ,5min,13,1.1
2025-09-06 12:30:24,2039.21,2025-09-06 12:55:24,2039.11,short,9.11,random_realistic,GCZ,5min,5,0.1
2025-09-06 13:55:24,2041.68,2025-09-09 13:55:24,2041.33,long,-36.29,SMA_crossover,GCZ,1d,3,-0.36
2025-09-06 17:20:24,16293.83,2025-09-08 17:20:24,16294.81,long,19.07,random_realistic,NQ,1d,2,0.98
2025-09-09 13:20:24,16280.11,2025-09-09 14:00:24,16279.34,long,-15.75,RSI_breakout,NQ,5min,8,-0.76
2025-09-10 03:00:24,16354.74,2025-09-10 03:45:24,16355.24,long,9.53,random_realistic,NQ,15min,3,0.5
2025-09-10 10:45:24,16386.76,2025-09-10 11:20:24,16385.87,long,-18.23,RSI_breakout,NQ,5min,7,-0.89
2025-09-10 10:55:24,2004.0,2025-09-10 11:10:24,2003.62,long,-38.4,random_realistic,GCZ,15min,1,-0.38
2025-09-10 23:10:24,1992.14,2025-09-11 00:10:24,1992.03,long,-11.48,RSI_breakout,GCZ,15min,4,-0.11
2025-09-11 08:20:24,16378.33,2025-09-15 08:20:24,16379.12,short,-16.19,momentum,NQ,1d,4,-0.78
2025-09-11 17:10:24,1991.71,2025-09-11 19:10:24,1991.37,long,-35.18,random_realistic,GCZ,5min,24,-0.35
2025-09-12 04:10:24,2008.24,2025-09-12 04:23:24,2008.63,short,-38.71,RSI_breakout,GCZ,1min,13,-0.38
2025-09-12 08:23:24,2009.94,2025-09-12 08:43:24,2010.19,long,23.88,RSI_breakout,GCZ,5min,4,0.24
2025-09-12 11:43:24,2006.93,2025-09-12 11:53:24,2007.34,short,-41.65,random_realistic,GCZ,1min,10,-0.41
2025-09-13 05:53:24,2006.41,2025-09-20 05:53:24,2006.29,short,11.78,random_realistic,GCZ,1d,7,0.12
2025-09-15 20:20:24,16345.74,2025-09-15 23:05:24,16346.48,long,14.4,random_realistic,NQ,15min,11,0.75
2025-09-16 17:05:24,16345.05,2025-09-16 18:50:24,16347.09,long,40.4,momentum,NQ,15min,7,2.04
2025-09-17 01:50:24,16387.94,2025-09-17 02:05:24,16386.84,long,-22.47,random_realistic,NQ,15min,1,-1.1
2025-09-17 04:05:24,16372.59,2025-09-17 04:53:24,16371.3,long,-26.33,SMA_crossover,NQ,1min,48,-1.29
2025-09-17 05:53:24,16365.16,2025-09-17 06:48:24,16365.68,long,9.78,RSI_breakout,NQ,5min,11,0.51
2025-09-18 03:48:24,16315.33,2025-09-18 05:03:24,16315.98,long,12.59,random_realistic,NQ,5min,15,0.65
2025-09-18 19:03:24,16281.74,2025-09-18 19:12:24,16283.03,short,-26.37,RSI_breakout,NQ,1min,9,-1.29
2025-09-19 14:12:24,16216.02,2025-09-22 14:12:24,16214.99,long,-21.16,RSI_breakout,NQ,1d,3,-1.03
2025-09-20 15:53:24,2010.07,2025-09-20 16:58:24,2010.48,long,40.51,RSI_breakout,GCZ,5min,13,0.41
2025-09-21 03:58:24,1992.12,2025-09-21 04:48:24,1992.34,short,-22.79,RSI_breakout,GCZ,5min,10,-0.22
2025-09-21 09:48:24,2007.73,2025-09-21 10:29:24,2008.54,long,80.17,SMA_crossover,GCZ,1min,41,0.81
2025-09-22 10:29:24,2015.89,2025-09-22 11:09:24,2016.39,short,-50.83,random_realistic,GCZ,1min,40,-0.5
2025-09-22 21:09:24,2012.73,2025-09-22 22:39:24,2012.17,long,-56.03,SMA_crossover,GCZ,15min,6,-0.56
2025-09-23 09:12:24,16261.16,2025-09-23 09:49:24,16260.23,long,-18.93,random_realistic,NQ,1min,37,-0.92
2025-09-23 11:39:24,1989.2,2025-09-28 11:39:24,1989.56,short,-36.39,random_realistic,GCZ,1d,5,-0.36
2025-09-24 04:49:24,16310.74,2025-09-24 05:19:24,16311.86,short,-22.98,RSI_breakout,NQ,5min,6,-1.12
2025-09-24 23:19:24,16348.32,2025-09-24 23:49:24,16347.24,long,-22.23,momentum,NQ,5min,6,-1.09
2025-09-25 18:49:24,16366.2,2025-09-25 19:32:24,16365.29,long,-18.65,random_realistic,NQ,1min,43,-0.91
2025-09-26 14:32:24,16408.88,2025-09-26 15:37:24,16407.04,short,36.28,momentum,NQ,5min,13,1.84
2025-09-27 10:37:24,16498.57,2025-09-27 12:07:24,16497.33,long,-25.44,random_realistic,NQ,5min,18,-1.25
2025-09-28 09:07:24,16566.47,2025-09-28 11:37:24,16565.5,long,-19.76,momentum,NQ,15min,10,-0.96
2025-09-28 12:37:24,16562.28,2025-09-28 12:40:24,16562.89,long,11.71,RSI_breakout,NQ,1min,3,0.61
2025-09-28 16:39:24,1988.41,2025-10-06 16:39:24,1988.22,short,18.39,SMA_crossover,GCZ,1d,8,0.19
2025-09-29 01:40:24,16597.36,2025-09-29 02:15:24,16596.21,short,22.44,momentum,NQ,5min,7,1.15
2025-09-30 02:15:24,16659.48,2025-09-30 03:45:24,16658.25,long,-25.05,SMA_crossover,NQ,15min,6,-1.23
2025-10-01 01:45:24,16607.88,2025-10-05 01:45:24,16609.11,short,-24.97,momentum,NQ,1d,4,-1.22
2025-10-05 02:45:24,16594.44,2025-10-05 05:15:24,16596.1,long,32.66,RSI_breakout,NQ,15min,10,1.66
2025-10-05 19:15:24,16590.29,2025-10-05 19:31:24,16589.45,short,16.33,SMA_crossover,NQ,1min,16,0.84
2025-10-06 04:31:24,16595.95,2025-10-07 04:31:24,16594.97,long,-20.2,RSI_breakout,NQ,1d,1,-0.98
2025-10-07 06:39:24,1996.25,2025-10-07 07:34:24,1996.36,long,11.23,SMA_crossover,GCZ,5min,11,0.12
2025-10-07 08:31:24,16589.26,2025-10-07 09:11:24,16588.27,long,-20.24,RSI_breakout,NQ,5min,8,-0.99
2025-10-07 17:11:24,16538.86,2025-10-07 17:52:24,16539.35,long,9.32,SMA_crossover,NQ,1min,41,0.49
2025-10-07 23:34:24,1980.06,2025-10-12 23:34:24,1980.09,short,-3.43,momentum,GCZ,1d,5,-0.03
2025-10-08 13:52:24,16555.74,2025-10-08 14:11:24,16556.91,long,22.82,RSI_breakout,NQ,1min,19,1.17
2025-10-09 06:11:24,16486.7,2025-10-10 06:11:24,16485.55,long,-23.37,RSI_breakout,NQ,1d,1,-1.14
2025-10-10 18:11:24,16491.86,2025-10-10 18:17:24,16491.49,short,6.91,RSI_breakout,NQ,1min,6,0.37
2025-10-11 16:17:24,16500.92,2025-10-11 17:27:24,16500.93,long,-0.38,RSI_breakout,NQ,5min,14,0.01
2025-10-12 12:27:24,16445.99,2025-10-12 12:42:24,16444.46,short,30.25,momentum,NQ,5min,3,1.54
2025-10-12 22:42:24,16460.1,2025-10-12 23:17:24,16461.17,short,-22.0,SMA_crossover,NQ,5min,7,-1.08
2025-10-13 13:34:24,1984.63,2025-10-13 14:29:24,1983.89,short,72.89,RSI_breakout,GCZ,5min,11,0.73
2025-10-13 22:17:24,16390.93,2025-10-14 02:02:24,16392.29,short,-27.65,random_realistic,NQ,15min,15,-1.36
2025-10-14 07:29:24,1981.7,2025-10-18 07:29:24,1982.11,short,-41.02,RSI_breakout,GCZ,1d,4,-0.41
2025-10-15 00:02:24,16366.95,2025-10-15 00:33:24,16367.91,short,-19.63,SMA_crossover,NQ,1min,31,-0.96
2025-10-15 19:33:24,16382.0,2025-10-20 19:33:24,16381.09,short,17.7,momentum,NQ,1d,5,0.91
2025-10-18 14:29:24,1978.19,2025-10-18 15:09:24,1977.78,long,-41.36,random_realistic,GCZ,1min,40,-0.41
2025-10-18 23:09:24,1966.13,2025-10-23 23:09:24,1965.53,short,58.6,momentum,GCZ,1d,5,0.59
2025-10-21 02:33:24,16406.39,2025-10-21 02:56:24,16406.06,short,6.07,SMA_crossover,NQ,1min,23,0.33
2025-10-21 05:56:24,16400.37,2025-10-21 06:31:24,16400.34,short,0.11,momentum,NQ,5min,7,0.03
2025-10-21 21:31:24,16358.55,2025-10-22 00:01:24,16357.82,long,-14.98,momentum,NQ,15min,10,-0.72
2025-10-22 16:01:24,16335.83,2025-10-22 16:07:24,16335.12,long,-14.69,RSI_breakout,NQ,1min,6,-0.71
2025-10-23 01:07:24,16329.15,2025-10-23 03:37:24,16328.65,short,9.6,RSI_breakout,NQ,15min,10,0.5
2025-10-24 02:37:24,16340.68,2025-10-24 03:47:24,16341.62,long,18.45,random_realistic,NQ,5min,14,0.95
2025-10-24 13:47:24,16351.62,2025-10-24 17:32:24,16352.98,short,-27.67,SMA_crossover,NQ,15min,15,-1.36
2025-10-24 20:09:24,1955.04,2025-10-26 20:09:24,1954.58,long,-46.83,RSI_breakout,GCZ,1d,2,-0.46
2025-10-25 01:32:24,16436.77,2025-10-29 01:32:24,16437.65,long,16.96,RSI_breakout,NQ,1d,4,0.87
2025-10-27 15:09:24,1957.04,2025-10-31 15:09:24,1956.5,short,53.34,momentum,GCZ,1d,4,0.54
2025-10-29 14:32:24,16443.88,2025-10-29 14:58:24,16444.69,short,-16.85,SMA_crossover,NQ,1min,26,-0.82
2025-10-30 05:58:24,16514.11,2025-10-30 07:03:24,16514.21,long,1.52,momentum,NQ,5min,13,0.1
2025-10-30 11:03:24,16491.55,2025-11-03 11:03:24,16490.06,short,29.29,momentum,NQ,1d,4,1.49
2025-11-01 01:09:24,1969.13,2025-11-01 02:29:24,1969.7,short,-56.89,momentum,GCZ,5min,16,-0.56
2025-11-01 09:29:24,1956.07,2025-11-01 09:46:24,1956.17,short,-9.86,RSI_breakout,GCZ,1min,17,-0.09
2025-11-01 20:46:24,1944.83,2025-11-08 20:46:24,1944.48,long,-35.78,random_realistic,GCZ,1d,7,-0.35
2025-11-03 16:03:24,16472.65,2025-11-03 16:33:24,16471.78,long,-18.06,random_realistic,NQ,15min,2,-0.88
2025-11-04 05:33:24,16466.03,2025-11-04 05:42:24,16464.71,long,-26.94,momentum,NQ,1min,9,-1.32
2025-11-05 05:42:24,16433.06,2025-11-05 06:05:24,16432.38,short,13.15,momentum,NQ,1min,23,0.68
2025-11-05 19:05:24,16348.69,2025-11-09 19:05:24,16347.51,long,-24.08,SMA_crossover,NQ,1d,4,-1.18
2025-11-09 11:46:24,1950.93,2025-11-17 11:46:24,1950.64,long,-30.27,SMA_crossover,GCZ,1d,8,-0.3
2025-11-10 16:05:24,16334.17,2025-11-16 16:05:24,16335.06,short,-18.32,SMA_crossover,NQ,1d,6,-0.89
2025-11-17 09:05:24,16276.26,2025-11-17 09:35:24,16275.36,long,-18.5,random_realistic,NQ,15min,2,-0.9
2025-11-17 18:46:24,1963.92,2025-11-17 21:01:24,1963.26,long,-65.98,momentum,GCZ,15min,9,-0.65
2025-11-18 07:35:24,16288.77,2025-11-18 10:05:24,16289.93,short,-23.58,random_realistic,NQ,15min,10,-1.15
2025-11-18 13:01:24,1964.05,2025-11-18 15:31:24,1964.79,long,72.74,momentum,GCZ,15min,10,0.73
2025-11-18 23:31:24,1965.79,2025-11-20 23:31:24,1966.31,short,-52.3,momentum,GCZ,1d,2,-0.52
2025-11-19 07:05:24,16328.47,2025-11-20 07:05:24,16328.5,long,0.1,momentum,NQ,1d,1,0.03
2025-11-20 23:05:24,16341.37,2025-11-21 00:35:24,16341.46,short,-2.26,SMA_crossover,NQ,15min,6,-0.09
2025-11-21 18:31:24,1965.45,2025-11-21 20:46:24,1964.81,long,-64.19,random_realistic,GCZ,15min,9,-0.64
2025-11-21 22:35:24,16305.88,2025-11-21 22:46:24,16306.84,short,-19.69,random_realistic,NQ,1min,11,-0.96
2025-11-22 10:46:24,16356.2,2025-11-25 10:46:24,16357.34,short,-23.36,SMA_crossover,NQ,1d,3,-1.14
2025-11-22 19:46:24,1946.1,2025-12-02 19:46:24,1945.63,long,-48.16,SMA_crossover,GCZ,1d,10,-0.48
2025-11-25 22:46:24,16320.57,2025-11-30 22:46:24,16319.36,long,-24.83,RSI_breakout,NQ,1d,5,-1.22
2025-11-30 23:46:24,16336.18,2025-12-03 23:46:24,16336.61,long,8.08,SMA_crossover,NQ,1d,3,0.43
2025-12-03 19:46:24,1926.55,2025-12-03 20:11:24,1926.77,long,21.62,RSI_breakout,GCZ,5min,5,0.22
2025-12-04 07:11:24,1925.95,2025-12-04 07:34:24,1925.42,long,-53.03,momentum,GCZ,1min,23,-0.53
2025-12-04 14:34:24,1924.07,2025-12-04 14:45:24,1923.7,long,-37.14,momentum,GCZ,1min,11,-0.37
2025-12-04 19:45:24,1905.8,2025-12-04 20:09:24,1905.58,short,21.44,random_realistic,GCZ,1min,24,0.22
2025-12-04 22:46:24,16353.45,2025-12-05 02:16:24,16353.45,long,-0.42,SMA_crossover,NQ,15min,14,0.0
2025-12-05 03:09:24,1885.83,2025-12-05 03:13:24,1885.48,long,-35.91,RSI_breakout,GCZ,1min,4,-0.35
2025-12-05 03:16:24,16327.53,2025-12-09 03:16:24,16328.79,short,-25.68,momentum,NQ,1d,4,-1.26
2025-12-05 14:13:24,1892.2,2025-12-05 15:58:24,1892.65,short,-45.38,momentum,GCZ,15min,7,-0.45
2025-12-06 06:58:24,1892.16,2025-12-06 07:07:24,1892.52,long,35.61,momentum,GCZ,1min,9,0.36
2025-12-06 19:07:24,1890.43,2025-12-06 20:32:24,1890.75,long,31.34,SMA_crossover,GCZ,5min,17,0.32
2025-12-07 05:32:24,1881.13,2025-12-07 06:17:24,1880.58,long,-55.54,RSI_breakout,GCZ,15min,3,-0.55
2025-12-07 08:17:24,1877.88,2025-12-07 08:30:24,1878.26,short,-37.73,random_realistic,GCZ,1min,13,-0.37
2025-12-07 11:30:24,1874.7,2025-12-07 13:45:24,1875.04,long,34.02,SMA_crossover,GCZ,15min,9,0.35
2025-12-08 08:45:24,1895.46,2025-12-08 10:15:24,1895.38,short,7.13,momentum,GCZ,15min,6,0.08
2025-12-08 13:15:24,1906.41,2025-12-15 13:15:24,1906.07,short,33.76,random_realistic,GCZ,1d,7,0.34
2025-12-09 10:16:24,16326.64,2025-12-12 10:16:24,16327.62,long,19.13,RSI_breakout,NQ,1d,3,0.98
2025-12-13 09:16:24,16398.09,2025-12-13 09:41:24,16398.29,long,3.45,random_realistic,NQ,5min,5,0.2
2025-12-13 18:41:24,16419.42,2025-12-13 22:11:24,16419.76,long,6.28,SMA_crossover,NQ,15min,14,0.34
2025-12-14 19:11:24,16432.98,2025-12-14 20:46:24,16433.87,short,-18.22,random_realistic,NQ,5min,19,-0.89
2025-12-15 13:46:24,16427.3,2025-12-15 14:25:24,16428.6,short,-26.41,SMA_crossover,NQ,1min,39,-1.3
2025-12-16 01:25:24,16402.08,2025-12-17 01:25:24,16402.11,long,0.07,momentum,NQ,1d,1,0.03
2025-12-16 07:15:24,1883.92,2025-12-23 07:15:24,1883.38,long,-54.15,RSI_breakout,GCZ,1d,7,-0.54
2025-12-17 22:25:24,16342.56,2025-12-18 00:55:24,16342.14,long,-8.93,SMA_crossover,NQ,5min,30,-0.42
2025-12-18 14:55:24,16339.22,2025-12-22 14:55:24,16340.0,long,15.07,momentum,NQ,1d,4,0.78
2025-12-22 15:55:24,16342.33,2025-12-22 16:22:24,16341.26,long,-21.91,SMA_crossover,NQ,1min,27,-1.07
2025-12-23 10:22:24,16348.19,2025-12-23 10:58:24,16349.83,long,32.34,SMA_crossover,NQ,1min,36,1.64
2025-12-23 20:15:24,1883.32,2025-12-23 20:30:24,1883.61,short,-28.67,RSI_breakout,GCZ,5min,3,-0.28
2025-12-24 03:58:24,16409.06,2025-12-24 06:43:24,16409.39,long,6.13,momentum,NQ,15min,11,0.33
2025-12-24 07:30:24,1899.15,2025-12-24 07:40:24,1899.69,short,-55.0,RSI_breakout,GCZ,5min,2,-0.55
2025-12-24 21:43:24,16401.82,2025-12-28 21:43:24,16403.15,short,-27.15,momentum,NQ,1d,4,-1.33
2025-12-25 00:40:24,1890.74,2025-12-25 05:25:24,1890.65,short,8.34,SMA_crossover,GCZ,15min,19,0.09
2025-12-25 09:25:24,1881.94,2025-12-30 09:25:24,1882.11,short,-16.87,momentum,GCZ,1d,5,-0.16
2025-12-29 15:43:24,16355.29,2025-12-29 17:28:24,16356.24,long,18.56,random_realistic,NQ,5min,21,0.95
2025-12-30 08:28:24,16437.82,2025-12-30 09:13:24,16438.01,long,3.41,RSI_breakout,NQ,15min,3,0.2
2025-12-30 18:13:24,16403.96,2025-12-30 18:32:24,16403.28,short,13.08,momentum,NQ,1min,19,0.68
2025-12-30 19:25:24,1879.01,2025-12-30 19:56:24,1878.99,short,1.29,random_realistic,GCZ,1min,31,0.02
2025-12-30 21:32:24,16400.83,2025-12-30 22:32:24,16402.01,short,-24.05,SMA_crossover,NQ,5min,12,-1.18
2025-12-31 04:56:24,1867.07,2026-01-03 04:56:24,1866.63,long,-43.9,random_realistic,GCZ,1d,3,-0.43
2025-12-31 09:32:24,16396.54,2025-12-31 10:37:24,16395.64,long,-18.54,SMA_crossover,NQ,5min,13,-0.9
2025-12-31 14:37:24,16339.46,2025-12-31 17:52:24,16340.62,short,-23.58,random_realistic,NQ,15min,13,-1.15
2026-01-01 12:52:24,16284.4,2026-01-11 12:52:24,16285.06,short,-13.75,SMA_crossover,NQ,1d,10,-0.66
2026-01-03 10:56:24,1881.25,2026-01-06 10:56:24,1881.37,long,11.89,momentum,GCZ,1d,3,0.12
2026-01-06 22:56:24,1902.8,2026-01-07 00:16:24,1903.44,long,62.7,random_realistic,GCZ,5min,16,0.63
2026-01-07 15:16:24,1897.33,2026-01-07 15:41:24,1897.69,short,-35.81,momentum,GCZ,1min,25,-0.35
2026-01-08 02:41:24,1885.38,2026-01-08 04:41:24,1885.29,short,8.81,SMA_crossover,GCZ,5min,24,0.09
2026-01-09 01:41:24,1898.36,2026-01-09 02:26:24,1898.71,short,-35.93,SMA_crossover,GCZ,15min,3,-0.35
2026-01-09 06:26:24,1901.33,2026-01-09 07:05:24,1901.72,short,-39.22,SMA_crossover,GCZ,1min,39,-0.39
2026-01-10 03:05:24,1898.29,2026-01-10 03:13:24,1897.88,long,-41.23,RSI_breakout,GCZ,1min,8,-0.41
2026-01-10 07:13:24,1889.0,2026-01-10 08:18:24,1889.46,short,-47.23,RSI_breakout,GCZ,5min,13,-0.47
2026-01-10 20:18:24,1895.67,2026-01-10 22:18:24,1896.05,short,-38.53,RSI_breakout,GCZ,15min,8,-0.38
2026-01-10 23:18:24,1893.88,2026-01-10 23:42:24,1894.38,long,48.61,random_realistic,GCZ,1min,24,0.49
2026-01-11 16:52:24,16298.53,2026-01-11 17:52:24,16300.0,long,29.04,RSI_breakout,NQ,5min,12,1.48
2026-01-11 20:42:24,1918.98,2026-01-21 20:42:24,1918.62,long,-36.12,SMA_crossover,GCZ,1d,10,-0.36
2026-01-12 06:52:24,16268.97,2026-01-12 09:52:24,16270.39,long,27.75,momentum,NQ,15min,12,1.41
2026-01-13 00:52:24,16264.58,2026-01-13 03:52:24,16265.63,short,-21.43,random_realistic,NQ,15min,12,-1.05
2026-01-13 13:52:24,16297.38,2026-01-18 13:52:24,16298.34,short,-19.58,random_realistic,NQ,1d,5,-0.95
2026-01-18 16:52:24,16329.95,2026-01-18 17:17:24,16329.08,long,-17.87,SMA_crossover,NQ,1min,25,-0.87
2026-01-18 20:17:24,16300.08,2026-01-18 21:17:24,16300.05,long,-1.15,momentum,NQ,15min,4,-0.03
2026-01-19 14:17:24,16355.38,2026-01-21 14:17:24,16355.25,short,2.15,momentum,NQ,1d,2,0.13
2026-01-21 17:17:24,16392.31,2026-01-25 17:17:24,16391.26,long,-21.59,RSI_breakout,NQ,1d,4,-1.05
2026-01-22 02:42:24,1898.05,2026-01-22 04:42:24,1897.85,short,20.06,momentum,GCZ,15min,8,0.21
2026-01-23 02:42:24,1909.52,2026-01-23 02:59:24,1909.99,short,-48.24,RSI_breakout,GCZ,1min,17,-0.48
2026-01-23 20:59:24,1898.51,2026-01-23 21:13:24,1898.98,long,46.88,RSI_breakout,GCZ,1min,14,0.47
2026-01-24 17:13:24,1896.45,2026-01-24 18:58:24,1896.16,short,29.05,random_realistic,GCZ,5min,21,0.3
2026-01-25 17:58:24,1885.7,2026-01-25 18:02:24,1885.93,short,-24.09,random_realistic,GCZ,1min,4,-0.24
2026-01-25 22:02:24,1885.2,2026-01-31 22:02:24,1885.6,short,-39.99,SMA_crossover,GCZ,1d,6,-0.39
2026-01-26 10:17:24,16389.03,2026-02-01 10:17:24,16387.89,long,-23.34,random_realistic,NQ,1d,6,-1.14
2026-02-01 11:02:24,1853.49,2026-02-01 12:17:24,1853.9,short,-41.83,momentum,GCZ,15min,5,-0.41
2026-02-02 08:17:24,16392.06,2026-02-02 11:47:24,16391.26,long,-16.38,random_realistic,NQ,15min,14,-0.79
2026-02-02 10:17:24,1861.48,2026-02-07 10:17:24,1860.98,long,-49.97,RSI_breakout,GCZ,1d,5,-0.49
2026-02-02 17:47:24,16385.28,2026-02-02 18:17:24,16386.12,short,-17.44,random_realistic,NQ,15min,2,-0.85
2026-02-03 18:17:24,16347.2,2026-02-03 20:32:24,16347.93,long,14.01,random_realistic,NQ,15min,9,0.73
2026-02-04 13:32:24,16335.42,2026-02-07 13:32:24,16336.54,short,-22.9,random_realistic,NQ,1d,3,-1.12
2026-02-08 03:32:24,16357.05,2026-02-08 04:17:24,16355.78,short,24.95,random_realistic,NQ,15min,3,1.27
2026-02-08 05:17:24,1869.5,2026-02-08 07:07:24,1869.85,short,-35.68,random_realistic,GCZ,5min,22,-0.35
2026-02-08 06:17:24,16365.04,2026-02-13 06:17:24,16365.95,short,-18.79,RSI_breakout,NQ,1d,5,-0.91
2026-02-09 02:07:24,1854.93,2026-02-14 02:07:24,1855.66,long,71.87,momentum,GCZ,1d,5,0.72
2026-02-13 12:17:24,16349.99,2026-02-13 12:37:24,16350.88,short,-18.31,momentum,NQ,1min,20,-0.89
2026-02-14 04:37:24,16268.58,2026-02-14 05:27:24,16269.3,short,-14.86,RSI_breakout,NQ,5min,10,-0.72
2026-02-14 19:07:24,1863.17,2026-02-14 19:28:24,1862.85,short,31.15,momentum,GCZ,1min,21,0.32
2026-02-15 00:28:24,1857.56,2026-02-15 02:03:24,1857.55,long,-2.18,momentum,GCZ,5min,19,-0.02
2026-02-15 05:27:24,16255.46,2026-02-22 05:27:24,16254.46,long,-20.56,random_realistic,NQ,1d,7,-1.0
2026-02-15 11:03:24,1856.8,2026-02-16 11:03:24,1857.2,long,40.06,momentum,GCZ,1d,1,0.41
2026-02-17 02:03:24,1832.83,2026-02-18 02:03:24,1832.3,long,-52.98,momentum,GCZ,1d,1,-0.52
